937D/A408,RSSI
1411801737204,-72
1411801738681,-75
1411801738710,-75
1411801738951,-73
1411801738994,-73
1411801739662,-72
1411801739685,-72
1411801740015,-71
1411801740046,-71
1411801740384,-74
1411801740429,-74
1411801743631,-71
1411801743651,-71
1411801744639,-73
1411801744674,-73
1411801745151,-71
1411801745194,-71
1411801745711,-74
1411801745877,-74
1411801746437,-74
1411801746475,-74
1411801746779,-71
1411801746810,-71
1411801747120,-71
1411801747143,-71
1411801747500,-72
1411801747520,-72
1411801748191,-72
1411801748216,-72
1411801749967,-73
1411801750315,-86
1411801750373,-86
1411801750689,-80
1411801751365,-73
1411801751392,-73
1411801751734,-72
1411801751760,-72
1411801752080,-73
1411801752105,-73
1411801752828,-79
1411801752849,-79
1411801753583,-83
1411801753611,-83
1411801754976,-90
1411801755033,-90
1411801755324,-72
1411801755345,-72
1411801755698,-73
1411801755729,-73
1411801756067,-85
1411801756095,-85
1411801756403,-82
1411801756424,-82
1411801757126,-75
1411801757162,-75
1411801757591,-76
1411801757638,-76
1411801757824,-80
1411801757852,-80
1411801758557,-76
1411801758591,-76
1411801759305,-84
1411801759326,-84
1411801759593,-74
1411801759620,-74
1411801760061,-78
1411801760083,-78
1411801760335,-73
1411801760355,-73
1411801760687,-77
1411801760709,-77
1411801761404,-79
1411801761436,-79
1411801761762,-87
1411801761798,-87
1411801762190,-81
1411801762331,-81
1411801763161,-88
1411801763189,-88
1411801765227,-79
1411801765387,-79
1411801765931,-80
1411801765961,-80
1411801766293,-81
1411801766326,-81
1411801766638,-82
1411801766664,-82
1411801767776,-75
1411801767797,-75
1411801768053,-74
1411801768082,-74
1411801768417,-74
1411801768447,-74
1411801768767,-80
1411801768790,-80
1411801769484,-79
1411801769508,-79
1411801769831,-74
1411801769859,-74
1411801770537,-74
1411801770561,-74
1411801770938,-73
1411801770967,-73
1411801771258,-74
1411801771287,-74
1411801773025,-76
1411801773048,-76
1411801773387,-80
1411801773415,-80
1411801774088,-75
1411801774119,-75
1411801774445,-73
1411801774474,-73
1411801775149,-82
1411801775179,-82
1411801775504,-74
1411801775534,-74
1411801775858,-75
1411801775914,-75
1411801776210,-81
1411801776230,-81
1411801776927,-72
1411801776958,-72
1411801777332,-81
1411801777355,-81
1411801779055,-89
1411801779088,-89
1411801780451,-78
1411801780484,-78
1411801781651,-76
1411801781683,-76
1411801781867,-78
1411801781893,-78
1411801782312,-81
1411801782349,-81
1411801784341,-79
1411801784366,-79
1411801785120,-77
1411801785150,-77
1411801785804,-79
1411801785848,-79
1411801786110,-85
1411801786139,-85
1411801786464,-88
1411801786485,-88
1411801787225,-79
1411801787884,-81
1411801787908,-81
1411801788252,-82
1411801788360,-82
1411801788950,-80
1411801788970,-80
1411801789309,-83
1411801789332,-83
1411801789667,-86
1411801789742,-86
1411801790391,-77
1411801790747,-76
1411801790898,-76
1411801792535,-79
1411801792561,-79
1411801793579,-81
1411801793702,-81
1411801794658,-77
1411801794733,-77
1411801795336,-80
1411801795358,-80
1411801796167,-77
1411801796194,-77
1411801796759,-77
1411801796795,-77
1411801797120,-87
1411801797144,-87
1411801798226,-81
1411801798278,-81
1411801798576,-77
1411801798602,-77
1411801799249,-78
1411801799272,-78
1411801800332,-80
1411801800380,-80
1411801801052,-82
1411801801074,-82
1411801801731,-82
1411801801751,-82
1411801802441,-79
1411801802471,-79
1411801802877,-81
1411801802898,-81
1411801803156,-86
1411801803180,-86
1411801803521,-84
1411801803556,-84
1411801803903,-79
1411801804043,-79
1411801804944,-78
