B4EC/C0CB,RSSI
1411801698768,-64
1411801698791,-64
1411801699089,-70
1411801699124,-70
1411801699429,-71
1411801699461,-71
1411801700170,-64
1411801700194,-64
1411801700844,-71
1411801700868,-71
1411801701918,-71
1411801701957,-71
1411801702262,-71
1411801702293,-71
1411801703038,-65
1411801703084,-65
1411801703402,-71
1411801703431,-71
1411801704420,-71
1411801704444,-71
1411801705105,-72
1411801705138,-72
1411801705476,-65
1411801705508,-65
1411801705811,-65
1411801705845,-65
1411801706514,-72
1411801706551,-72
1411801706911,-71
1411801706952,-71
1411801707934,-70
1411801708364,-65
1411801708398,-65
1411801708991,-71
1411801709025,-71
1411801709333,-64
1411801710073,-65
1411801710105,-65
1411801710408,-71
1411801710442,-71
1411801711127,-71
1411801711162,-71
1411801711876,-71
1411801711899,-71
1411801712189,-72
1411801712213,-72
1411801712537,-65
1411801712559,-65
1411801713320,-69
1411801713346,-69
1411801713607,-70
1411801713642,-70
1411801714670,-71
1411801714705,-71
1411801715390,-64
1411801715421,-64
1411801716106,-70
1411801716155,-70
1411801717505,-71
1411801717533,-71
1411801717878,-64
1411801717901,-64
1411801718237,-72
1411801718411,-72
1411801718945,-65
1411801718976,-65
1411801719654,-72
1411801719688,-72
1411801720338,-70
1411801720362,-70
1411801720780,-72
1411801720800,-72
1411801721051,-71
1411801721132,-71
1411801721770,-72
1411801721802,-72
1411801722150,-72
1411801722194,-72
1411801723210,-63
1411801723235,-63
1411801723587,-70
1411801723647,-70
1411801723879,-72
1411801723902,-72
1411801724609,-73
1411801724642,-73
1411801725342,-72
1411801725502,-72
1411801726385,-73
1411801726417,-73
1411801726718,-71
1411801726754,-71
1411801727786,-73
1411801727948,-73
1411801728172,-71
1411801728193,-71
1411801728520,-71
1411801728553,-71
1411801729555,-72
1411801729925,-64
1411801729958,-64
1411801730314,-70
1411801730333,-70
1411801730642,-72
1411801730676,-72
1411801731400,-64
1411801731428,-64
1411801731674,-64
1411801731700,-64
1411801732046,-72
1411801732066,-72
1411801732377,-73
1411801732399,-73
1411801732735,-70
1411801732758,-70
1411801733114,-72
1411801733149,-72
1411801733467,-72
1411801733554,-72
1411801734500,-64
1411801734527,-64
1411801734888,-71
1411801734912,-71
1411801735247,-70
1411801735318,-70
1411801736014,-70
1411801736042,-70
1411801736333,-70
1411801736380,-70
1411801737033,-64
1411801737065,-64
1411801737364,-71
1411801737389,-71
1411801737725,-70
1411801737746,-70
1411801738087,-70
1411801738116,-70
1411801738438,-64
1411801738605,-64
1411801739173,-64
1411801739204,-64
1411801739859,-64
1411801739881,-64
1411801740167,-72
1411801740194,-72
1411801740653,-64
1411801740678,-64
1411801740950,-64
1411801740980,-64
1411801741648,-73
1411801741667,-73
1411801741954,-73
1411801741978,-73
1411801742353,-73
1411801742391,-73
1411801742682,-68
1411801742719,-68
1411801743020,-72
1411801743051,-72
1411801743424,-72
1411801743500,-72
1411801744090,-64
1411801744122,-64
1411801744423,-64
1411801744446,-64
1411801744857,-73
1411801744881,-73
1411801745321,-70
1411801745345,-70
1411801745505,-64
1411801745537,-64
1411801746205,-64
1411801746231,-64
1411801746647,-72
1411801746677,-72
1411801746974,-72
1411801746998,-72
1411801747278,-72
1411801747323,-72
1411801748043,-65
1411801748068,-65
1411801748353,-72
1411801748383,-72
1411801748739,-72
1411801748763,-72
1411801749071,-72
1411801749103,-72
1411801749477,-70
1411801749504,-70
1411801749764,-71
1411801749789,-71
1411801750147,-67
1411801750181,-67
1411801750542,-73
1411801751905,-70
1411801751927,-70
1411801752599,-76
1411801752629,-76
1411801753345,-73
1411801753386,-73
1411801753743,-73
1411801753763,-73
1411801754022,-77
1411801754050,-77
