BD14/AEEF,RSSI
1411801688414,-72
1411801688689,-75
1411801688729,-75
1411801689032,-73
1411801689064,-73
1411801689748,-74
1411801691227,-73
1411801691250,-73
1411801691879,-72
1411801691906,-72
1411801692247,-72
1411801692267,-72
1411801692585,-74
1411801692636,-74
1411801692956,-72
1411801693015,-72
1411801693312,-72
1411801693355,-72
1411801694444,-74
1411801694485,-74
1411801694721,-74
1411801694772,-74
1411801695143,-72
1411801695169,-72
1411801695448,-73
1411801695486,-73
1411801695786,-74
1411801695840,-74
1411801696220,-75
1411801696244,-75
1411801696497,-73
1411801696529,-73
1411801696851,-74
1411801696893,-74
1411801697590,-74
1411801697614,-74
1411801698290,-71
1411801698324,-71
1411801698722,-74
1411801698746,-74
1411801698974,-72
1411801698998,-72
1411801699687,-73
1411801699718,-73
1411801700087,-73
1411801700143,-73
1411801700392,-72
1411801700424,-72
1411801700757,-73
1411801700780,-73
1411801701536,-74
1411801701564,-74
1411801701819,-74
1411801701852,-74
1411801702168,-73
1411801702188,-73
1411801702547,-74
1411801702580,-74
1411801702971,-73
1411801703004,-73
1411801703646,-74
1411801703665,-74
1411801703951,-74
1411801703991,-74
1411801704368,-72
1411801704394,-72
1411801704647,-72
1411801704677,-72
1411801705396,-74
1411801705429,-74
1411801705722,-73
1411801705768,-73
1411801706427,-72
1411801706460,-72
1411801706784,-73
1411801706866,-73
1411801707485,-74
1411801707518,-74
1411801707837,-73
1411801707857,-73
1411801708299,-74
1411801708331,-74
1411801708637,-72
1411801708908,-72
1411801708940,-72
1411801709606,-73
1411801709629,-73
1411801709999,-74
1411801710032,-74
1411801711030,-75
1411801711059,-75
1411801711389,-72
1411801711430,-72
1411801712095,-73
1411801712442,-72
1411801712467,-72
1411801713270,-74
1411801713294,-74
1411801713874,-74
1411801713916,-74
1411801714267,-68
1411801714345,-68
1411801714939,-74
1411801714977,-74
1411801715703,-73
1411801715766,-73
1411801716003,-72
1411801716034,-72
1411801716367,-73
1411801716417,-73
1411801716740,-71
1411801716772,-71
1411801717787,-74
1411801717824,-74
1411801718133,-72
1411801718164,-72
1411801718542,-73
1411801718563,-73
1411801718858,-74
1411801718902,-74
1411801719210,-75
1411801719252,-75
1411801719562,-72
1411801719593,-72
1411801719962,-73
1411801719985,-73
1411801720620,-74
1411801720760,-74
1411801720973,-73
1411801720996,-73
1411801721382,-73
1411801721414,-73
1411801721689,-74
1411801721721,-74
1411801722045,-75
1411801722092,-75
1411801723159,-73
1411801723187,-73
1411801723495,-72
1411801723552,-72
1411801724187,-73
1411801724223,-73
1411801724532,-74
1411801724570,-74
1411801724889,-74
1411801724934,-74
1411801725255,-74
1411801725310,-74
1411801725944,-71
1411801725974,-71
1411801726305,-72
1411801726345,-72
1411801727024,-73
1411801727064,-73
1411801727410,-73
1411801727434,-73
1411801727714,-72
1411801727748,-72
1411801728129,-74
1411801728150,-74
1411801728447,-72
1411801728484,-72
1411801728787,-74
1411801728819,-74
1411801729491,-71
1411801729517,-71
1411801729849,-72
1411801729884,-72
1411801730277,-72
1411801730295,-72
1411801730553,-73
1411801730607,-73
1411801730907,-73
1411801730931,-73
1411801731288,-75
1411801731320,-75
1411801731616,-73
1411801731642,-73
1411801731997,-72
1411801732026,-72
1411801732685,-75
