F021/9E93,RSSI
1411801710936,-71
1411801710963,-71
1411801711677,-73
1411801711701,-73
1411801712028,-73
1411801712052,-73
1411801712353,-71
1411801712372,-71
1411801713214,-73
1411801713243,-73
1411801713413,-72
1411801713435,-72
1411801714183,-73
1411801714216,-73
1411801714520,-72
1411801714551,-72
1411801715189,-72
1411801715223,-72
1411801715656,-72
1411801715678,-72
1411801715908,-72
1411801715935,-72
1411801716649,-72
1411801716697,-72
1411801716944,-73
1411801716968,-73
1411801717360,-72
1411801717380,-72
1411801718785,-72
1411801718815,-72
1411801719473,-71
1411801719507,-71
1411801719914,-72
1411801719935,-72
1411801720146,-72
1411801720202,-72
1411801720530,-72
1411801720552,-72
1411801720870,-72
1411801720894,-72
1411801721312,-71
1411801721346,-71
1411801721598,-71
1411801721631,-71
1411801722418,-72
1411801722441,-72
1411801723114,-71
1411801723137,-71
1411801723775,-72
1411801723794,-72
1411801724052,-72
1411801724078,-72
1411801724403,-72
1411801724432,-72
1411801725202,-71
1411801725228,-71
1411801725586,-73
1411801725621,-73
1411801725825,-72
1411801725855,-72
1411801726200,-72
1411801726229,-72
1411801726543,-72
1411801726574,-72
1411801727256,-73
1411801727615,-72
1411801727638,-72
1411801728085,-73
1411801728105,-73
1411801728365,-72
1411801728398,-72
1411801728671,-72
1411801729058,-72
1411801729144,-72
1411801729395,-72
1411801729439,-72
1411801730231,-72
1411801730256,-72
1411801730461,-72
1411801730481,-72
1411801730850,-72
1411801730877,-72
1411801731203,-72
1411801731244,-72
1411801731531,-72
1411801731555,-72
1411801731884,-73
1411801731934,-73
1411801732279,-72
1411801732314,-72
1411801732636,-71
1411801732658,-71
1411801732970,-72
1411801733003,-72
1411801733290,-72
1411801733329,-72
1411801733733,-72
1411801733773,-72
1411801734032,-72
1411801734181,-72
1411801734415,-73
1411801734435,-73
1411801734711,-72
1411801734743,-72
1411801735062,-72
1411801735088,-72
1411801735506,-73
1411801735539,-73
1411801735828,-73
1411801735860,-73
1411801736592,-73
1411801736612,-73
1411801736879,-72
1411801736911,-72
1411801737246,-73
1411801737274,-73
1411801737557,-73
1411801737580,-73
1411801737921,-72
1411801737949,-72
1411801738280,-73
1411801738304,-73
1411801738735,-72
1411801738762,-72
1411801739027,-72
1411801739070,-72
1411801739712,-73
1411801740077,-73
1411801740102,-73
1411801740462,-73
1411801740497,-73
1411801740850,-72
1411801740878,-72
1411801741101,-71
1411801741125,-71
1411801741478,-72
1411801741559,-72
1411801741813,-72
1411801741838,-72
1411801743672,-71
1411801743694,-71
1411801743947,-72
1411801743979,-72
1411801744304,-72
1411801744328,-72
1411801744749,-72
1411801744774,-72
1411801745217,-72
1411801745240,-72
1411801745903,-72
1411801745948,-72
1411801746075,-73
1411801746098,-73
1411801746514,-72
1411801746547,-72
1411801747540,-72
1411801747561,-72
1411801747861,-72
1411801747881,-72
1411801748240,-72
1411801748270,-72
1411801750410,-70
1411801750441,-70
1411801750712,-73
1411801751030,-72
1411801751052,-72
1411801751416,-72
1411801751441,-72
1411801751785,-72
1411801751817,-72
1411801752127,-73
1411801752149,-73
1411801752446,-75
1411801752472,-75
1411801752895,-72
1411801752930,-72
1411801753514,-72
1411801753543,-72
1411801754220,-75
1411801754240,-75
1411801754580,-76
1411801754601,-76
1411801754920,-72
1411801754948,-72
1411801755278,-72
1411801755302,-72
1411801755642,-72
1411801755670,-72
1411801756011,-75
1411801756039,-75
1411801756350,-70
1411801756382,-70
1411801756706,-72
1411801756734,-72
1411801757065,-72
1411801757098,-72
1411801757418,-72
1411801757447,-72
1411801757783,-74
1411801757805,-74
1411801758131,-72
1411801758171,-72
1411801758489,-65
1411801758524,-65
1411801759264,-75
1411801759285,-75
1411801759546,-72
1411801759566,-72
1411801759905,-77
1411801759927,-77
1411801760294,-75
1411801760315,-75
1411801760632,-75
1411801760656,-75
1411801761331,-76
1411801761368,-76
1411801761687,-78
1411801761723,-78
1411801762120,-73
1411801762155,-73
1411801763101,-81
1411801763131,-81
1411801764868,-71
1411801764901,-71
1411801766004,-72
1411801766033,-72
1411801766352,-74
1411801766373,-74
1411801766687,-74
1411801766718,-74
1411801767003,-72
1411801767029,-72
1411801768115,-74
1411801768140,-74
1411801768485,-75
1411801768509,-75
1411801769135,-74
1411801769162,-74
1411801770222,-72
1411801770245,-72
1411801770588,-73
1411801770621,-73
1411801770988,-73
1411801771009,-73
1411801772762,-72
1411801772785,-72
1411801773068,-73
1411801773100,-73
1411801773441,-73
1411801773469,-73
1411801773759,-74
1411801773786,-74
1411801774147,-74
1411801774177,-74
1411801774525,-71
1411801774554,-71
1411801774859,-71
1411801774881,-71
1411801775214,-72
1411801775239,-72
1411801775588,-71
1411801775618,-71
1411801775943,-73
1411801775965,-73
1411801776270,-72
1411801776294,-72
1411801776606,-73
1411801776632,-73
1411801776986,-79
1411801777028,-79
1411801777379,-74
1411801777402,-74
1411801778011,-70
1411801778040,-70
1411801778369,-78
1411801778397,-78
1411801779136,-76
1411801779165,-76
1411801779438,-77
1411801779479,-77
1411801779791,-82
1411801779825,-82
1411801780553,-76
1411801780584,-76
1411801780864,-68
1411801780900,-68
1411801781233,-72
1411801781270,-72
1411801781710,-74
1411801781739,-74
1411801782659,-72
1411801782684,-72
1411801783711,-72
1411801783781,-72
1411801784058,-71
1411801784083,-71
1411801784404,-72
1411801784424,-72
1411801784758,-73
1411801784780,-73
1411801785184,-74
1411801785225,-74
1411801785478,-79
1411801785512,-79
1411801786185,-87
1411801786216,-87
1411801786545,-75
1411801786569,-75
1411801786975,-73
1411801786999,-73
1411801787954,-88
1411801787978,-88
1411801788409,-83
1411801788443,-83
